nº,Code Link,Lines Before,Lines After,Added Lines,Removed Lines,Code Churn,Relative Churn
71,https://github.com/torvalds/linux/commit/92737230dd3f,2955,2887,135,203,338,"11,2"
72,https://github.com/torvalds/linux/commit/20eb13a77ebc,2335,2331,18,22,40,2
73,https://github.com/torvalds/linux/commit/f0ed4e695faf,1093,1103,19,9,28,"2,56"
74,https://github.com/torvalds/linux/commit/8380aabb9971,754,740,9,23,32,"4,24"
75,https://github.com/torvalds/linux/commit/31a73fe4f328,5544,5552,16,8,24,"0,43"
76,https://github.com/torvalds/linux/commit/3a353824df75,191,192,2,1,3,"1,57"
77,https://github.com/torvalds/linux/commit/10a29304f496,326,325,4,5,9,"2,76"
78,https://github.com/torvalds/linux/commit/4cafe373d40d,2651,2661,10,0,10,"0,37"
79,https://github.com/torvalds/linux/commit/717ffbfb28ac,502,496,1,7,8,"1,59"
80,https://github.com/torvalds/linux/commit/ad6bdccffbf8,85,94,27,18,45,"52,94"
81,https://github.com/torvalds/linux/commit/b5b086abe08c,754,754,1,1,2,"0,26"
82,https://github.com/torvalds/linux/commit/17364b805f5b,658,719,61,0,61,"9,27"
83,https://github.com/torvalds/linux/commit/c2ccf64a6c4b,370,371,9,8,17,"4,59"
84,https://github.com/torvalds/linux/commit/1f679ff6c761,2245,2246,2,1,3,"0,13"
85,https://github.com/torvalds/linux/commit/fb1136d6580c,1852,1987,135,0,135,"7,28"
86,https://github.com/torvalds/linux/commit/8206be2903b7,436,434,0,2,2,"0,45"
87,https://github.com/torvalds/linux/commit/4cf97582b46f,3485,3672,188,1,189,"5,42"
88,https://github.com/torvalds/linux/commit/dc96ee3730fc,1906,2066,161,1,162,"8,44"
89,https://github.com/torvalds/linux/commit/d29fcf7078bc,1180,1182,4,2,6,"0,5"
90,https://github.com/torvalds/linux/commit/18de100ed6f0,16993,16992,1,2,3,"0,01"
91,https://github.com/torvalds/linux/commit/e6b1b7da247b,3559,3558,44,45,99,"2,78"
92,https://github.com/torvalds/linux/commit/2ac515a5d74f,813,836,37,14,51,"6,27"
93,https://github.com/torvalds/linux/commit/66083b49bd33,921,927,13,7,20,"2,17"
94,https://github.com/torvalds/linux/commit/44015a8181a5,17845,17838,0,7,7,"0,03"
95,https://github.com/torvalds/linux/commit/9c355917fcf0,161,161,10,10,20,"12,42"
96,https://github.com/torvalds/linux/commit/52306e882f77,2795,2801,26,20,46,"1,64"
97,https://github.com/torvalds/linux/commit/091971897e84,645,645,2,2,4,1
98,https://github.com/torvalds/linux/commit/9e902c598b92,5747,5725,6,28,34,"0,59"
99,https://github.com/torvalds/linux/commit/52cd7047006c,84,89,5,0,5,"5,95"
100,https://github.com/torvalds/linux/commit/65f750e5457a,576,579,3,0,3,"0,52"
101,https://github.com/torvalds/linux/commit/4855022a5226,1655,1664,11,2,13,"0,78"
102,https://github.com/torvalds/linux/commit/e1db654d8e32,2035,2035,1,1,2,"0,09"
103,https://github.com/torvalds/linux/commit/487a07fba0c9,-,81,81,0,81,100
104,https://github.com/torvalds/linux/commit/52813ab24959,5165,5165,1,1,2,"0,03"
105,https://github.com/torvalds/linux/commit/0acf2a5f2a63,307,304,16,19,35,"11,4"
106,https://github.com/torvalds/linux/commit/4113b0e60bf1,389,389,1,1,2,"0,51"
107,https://github.com/torvalds/linux/commit/61e04465ddbf,6296,6290,8,14,22,"0,34"
108,https://github.com/torvalds/linux/commit/3697ff4340ba,716,786,70,0,70,"9,77"
109,https://github.com/torvalds/linux/commit/87e3031b6fbd,744,917,173,0,173,"23,25"
110,https://github.com/torvalds/linux/commit/32f2a0d11776,3958,4022,90,26,116,"2,93"
111,https://github.com/torvalds/linux/commit/25670fb03730,535,531,7,11,18,"3,36"
112,https://github.com/torvalds/linux/commit/13e6a84d697e,1537,1537,1,1,2,"0,13"
113,https://github.com/torvalds/linux/commit/7c8e8909417e,1156,1407,270,19,289,"25,01"
114,https://github.com/torvalds/linux/commit/8bbafed8dd5c,933,935,2,0,2,"0,21"
115,https://github.com/torvalds/linux/commit/7172fb7f3abe,919,919,10,10,20,"2,19"
116,https://github.com/torvalds/linux/commit/944d58595be0,1570,1568,0,2,2,"0,12"
117,https://github.com/torvalds/linux/commit/25d4affb0c62,639,631,21,29,50,"7,82"
118,https://github.com/torvalds/linux/commit/25fcf94a2fa8,321,321,1,1,2,"0,62"
119,https://github.com/torvalds/linux/commit/cca4fafc0904,55,57,2,0,2,"3,63"
120,https://github.com/torvalds/linux/commit/dc1aca22f8f3,4710,4725,15,0,15,"0,31"
121,https://github.com/torvalds/linux/commit/ae2a9762d6f5,381,383,30,28,58,"15,22"
122,https://github.com/torvalds/linux/commit/74c166b58895,230,231,2,1,3,"0,86"
123,https://github.com/torvalds/linux/commit/66ba345ba8a6,224,264,40,0,40,"17,85"
124,https://github.com/torvalds/linux/commit/e2ef2a129084,952,967,35,20,55,"5,77"
125,https://github.com/torvalds/linux/commit/7d43f1ce9dd0,1408,1522,144,30,174,"12,35"
126,https://github.com/torvalds/linux/commit/c496f3c08a83,491,491,4,4,8,"1,62"
127,https://github.com/torvalds/linux/commit/17e4bddadca8,1255,1253,6,8,14,"1,11"
128,https://github.com/torvalds/linux/commit/0410c3bb2b88,993,1030,259,222,481,"48,43"
129,https://github.com/torvalds/linux/commit/988563929d5b,2129,2128,13,14,27,"1,26"
130,https://github.com/torvalds/linux/commit/6ef0c3337ac9,549,553,8,4,12,"2,18"
131,https://github.com/torvalds/linux/commit/ebbdcc669c7f,6605,6747,162,20,182,"2,75"
